evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E
100155,40163,3,19,-11,-17440.947,15529.93,215614.5,0.00028863963,0.004053273,0.76184785
100155,40163,3,20,-11,-17443.28,15527.818,217041.48,-0.0015092425,-0.0009770523,0.76184785
100160,41453,3,17,-11,-4167.944,14852.23,212760.5,0.007367869,0.0010690952,0.8169474
100160,41453,3,18,-11,-4165.301,14857.473,214187.5,0.0028834734,0.0042497455,0.8169474
100160,41453,3,19,-11,-4169.267,14864.62,215614.5,-0.013324939,0.0012267533,0.8169474
100160,41548,7,17,-11,-4118.425,14838.472,212760.5,0.0013356885,-0.0016611151,0.16251998
100160,41548,7,18,11,-4117.956,14823.561,214187.5,0.00063976576,-0.008589628,1.6861805
100160,41548,7,19,11,-4124.4404,14810.768,215614.5,-0.0052304766,-0.012648436,1.6861805
100160,41548,7,20,11,-4130.8413,14793.789,217041.48,-0.0070211845,-0.014003822,1.6861805
100160,41548,7,21,11,-4143.723,14773.154,218468.48,-0.009698232,-0.014235311,1.6861805
100160,41548,7,22,11,-4159.635,14749.774,219895.5,-0.0106356945,-0.019541068,1.6861805
100160,41548,7,23,11,-4176.5327,14720.302,221322.5,-0.018367445,-0.02413584,1.6861805
100160,41572,3,17,11,-4110.0806,14855.944,212760.5,-0.005521707,-0.010431479,0.62494147
100160,41572,3,20,11,-4121.528,14829.31,217041.48,0.00094206136,-0.00033306712,0.8466682
100160,41572,3,21,11,-4111.321,14823.635,218468.48,0.011381913,-0.006008665,0.8466682
100162,41949,3,17,11,-15068.718,26984.97,212760.5,-0.0051845587,0.02114769,1.274537
100162,41949,3,18,11,-15078.787,27015.035,214187.5,-0.0071205697,0.02848594,1.274537
100162,41949,3,19,11,-15075.536,27057.459,215614.5,0.007687047,0.036595583,1.274537
100225,58141,3,17,-11,-3865.6118,26303.998,212760.5,-0.013843282,0.080057606,1.3416468
100225,58141,3,18,-11,-3887.378,26420.314,214187.5,-0.022124259,0.07852349,1.3416468
100225,58141,3,19,-11,-3916.0947,26526.969,215614.5,-0.009454725,0.0733418,0.20369089
100288,74223,3,17,-11,-14452.163,23952.078,212760.5,0.007880656,-0.0016108525,1.8070644
100288,74223,3,18,-11,-14438.915,23956.182,214187.5,0.014478698,0.0016801077,1.8070644
100288,74223,3,19,-11,-14418.758,23967.547,215614.5,0.012790647,0.013385066,1.8070644
100288,74338,3,17,11,-14378.984,23942.102,212760.5,0.014664928,-0.0047594607,3.7498877
100288,74338,3,18,11,-14366.837,23929.18,214187.5,0.008720678,-0.008501086,3.7498877
100288,74338,3,19,11,-14355.473,23920.97,215614.5,0.007225737,-0.0035185453,3.7498877
100291,75076,4,17,-11,-11336.454,16228.528,212760.5,0.010829348,-0.0052827545,3.5521255
100291,75076,4,18,-11,-11319.171,16223.046,214187.5,0.0150714675,-0.0002627231,3.5521255
100291,75076,4,19,-11,-11294.249,16224.138,215614.5,0.017244015,0.0017875349,3.5521255
100291,75076,4,20,-11,-11269.22,16229.539,217041.48,0.01924846,0.006065403,3.5521255
100301,77510,4,17,-11,-17671.76,24216.672,212760.5,-0.0049791383,0.01212319,1.8837949
100301,77510,4,18,-11,-17676.701,24233.324,214187.5,-0.003153287,0.011049993,1.8837949
100301,77510,4,20,11,-17673.918,24264.387,217041.48,2.1239874e-05,0.008482778,0.38608104
100301,77510,4,21,-11,-17667.549,24269.17,218468.48,0.005474456,0.008201929,1.4644899
100301,77637,3,17,-11,-17658.783,24162.762,212760.5,0.002192771,0.011611947,0.54585284
100301,77637,3,18,-11,-17650.938,24181.428,214187.5,0.0063093053,0.011566188,0.54585284
100301,77637,3,19,11,-17639.816,24205.006,215614.5,0.0019025386,0.020380115,0.040173866
100325,67071,4,12,-11,-10852.63,24772.2,205625.48,-0.0020549274,-0.0006422216,0.561025
100325,67071,4,15,11,-10857.877,24766.02,209906.5,-0.0013652921,-0.0014141271,4.174873
100325,67071,4,17,11,-10874.288,24767.236,212760.5,-0.0068409964,-0.001017734,4.174873
100325,67071,4,18,-11,-10880.125,24778.938,214187.5,-0.0024837535,0.009223728,0.41824827
100325,5558,11,3,-11,-10816.923,24758.186,192782.5,-0.0012666103,0.00043266386,35.68409
100325,5558,11,6,11,-10816.935,24758.154,197063.48,0.0014454282,-0.0018665299,2.6766818
100325,5558,11,7,11,-10818.475,24756.088,198490.5,0.0010746369,0.0045169587,2.6766818
100325,5558,11,10,-11,-10830.401,24786.896,202771.5,-0.0043159034,0.0070216763,1.878516
100325,5558,11,13,-11,-10842.226,24804.502,207052.48,-0.0032955406,0.0026786332,1.6824619
100325,5558,11,14,-11,-10846.77,24812.062,208479.5,-0.0017459928,0.0044688922,1.6824619
100325,5558,11,15,-11,-10848.893,24821.049,209906.5,-0.001244682,0.0073158736,1.6824619
100325,5558,11,16,-11,-10849.98,24827.213,211333.5,0.0048361924,0.0026960955,1.6824619
100325,5558,11,17,-11,-10841.062,24832.342,212760.5,0.012087762,0.008486866,1.6824619
100325,5558,11,18,-11,-10826.573,24843.389,214187.5,0.010665158,0.01453466,1.6824619
100325,5558,11,19,-11,-10816.757,24866.938,215614.5,0.007040271,0.017837295,1.6824619
100400,103613,6,17,11,-11224.334,19781.264,212760.5,-0.0081193065,0.0075786035,0.7637479
100400,103613,6,20,-11,-11249.912,19819.504,217041.48,-0.002934835,0.0073772953,2.7087212
100400,103613,6,21,11,-11253.737,19824.89,218468.48,-0.0042910487,0.0017031863,4.8421216
100400,103613,6,22,11,-11260.548,19826.541,219895.5,-0.0064431177,0.00023666544,4.8421216
100400,103613,6,23,11,-11271.188,19828.04,221322.5,-0.008339298,0.001374089,4.8421216
100400,103613,6,24,11,-11285.383,19823.045,222749.5,-0.0073426124,-0.0033319015,4.8421216
100400,103617,3,17,11,-11208.19,19788.16,212760.5,0.0070928154,0.008773128,2.7352304
100400,103617,3,18,11,-11190.534,19801.732,214187.5,0.015306431,0.016619276,0.72904396
100400,103617,3,21,11,-11135.33,19887.51,218468.48,0.012209431,0.024478277,2.0049794
100448,99673,6,13,-11,-6974.8726,17084.812,207052.48,-0.0001935993,-0.0010159401,5.5345817
100448,99673,6,14,-11,-6970.3735,17091.23,208479.5,0.004677704,0.0028020611,2.5477295
100448,99673,6,15,-11,-6969.923,17098.816,209906.5,-0.0068347394,0.0077394233,2.5477295
100448,99673,6,16,-11,-6976.2837,17108.9,211333.5,-0.0009220733,0.0054616346,2.5477295
100448,99673,6,17,-11,-6978.41,17124.703,212760.5,-0.00267513,0.01260845,2.5477295
100448,99673,6,18,-11,-6974.128,17148.973,214187.5,0.004031568,0.022122957,2.5477295
100448,51810,12,8,-11,-6987.618,17096.295,199917.5,0.0011866261,-0.005103753,5.7892637
100448,51810,12,9,-11,-6980.8354,17089.361,201344.5,0.004805973,-0.0002754837,4.369238
100448,51810,12,10,11,-6983.429,17089.52,202771.5,-0.0012233827,0.0020027503,12.227293
100448,51810,12,12,-11,-6982.674,17090.068,205625.48,-0.00045554218,-0.003566116,3.8021877
100448,51810,12,13,11,-6981.1216,17091.404,207052.48,0.0007274519,-0.0011675234,17.580746
