evtID,trkID,segnum,PID,pdgID,X,Y,Z,TX,TY,E,minPID,injectPID
100089.0,23433.0,5.0,19.0,-11.0,-7375.027,22762.705,215614.5,-0.0070805983,0.0040576714,0.67974365,19.0,0.0
100089.0,14257.0,8.0,10.0,-11.0,-7368.177,22765.941,202771.5,1.8451168e-05,0.009559124,8.357839,10.0,0.0
100089.0,14257.0,8.0,11.0,11.0,-7368.633,22766.258,204198.5,0.0022026976,6.226215e-05,0.45201477,10.0,0.0
100089.0,14257.0,8.0,12.0,-11.0,-7369.364,22770.105,205625.48,0.0006014352,0.004875629,0.8969607,10.0,0.0
100089.0,14257.0,8.0,15.0,-11.0,-7375.735,22783.527,209906.5,-0.004148409,0.003517808,0.6428715,10.0,0.0
100089.0,14257.0,8.0,16.0,-11.0,-7380.965,22776.879,211333.5,-0.0023026913,-0.0031673904,0.6428715,10.0,0.0
100089.0,14257.0,8.0,20.0,-11.0,-7376.2876,22746.922,217041.48,0.0011357351,-0.006790324,0.17840336,10.0,0.0
100089.0,21161.0,5.0,26.0,-11.0,-7350.715,22752.834,225603.5,0.0041799876,-0.0036852034,6.6401777,24.0,0.0
100089.0,21161.0,5.0,27.0,-11.0,-7344.012,22750.36,227030.48,0.004940977,0.00055756886,6.6401777,24.0,0.0
100089.0,21161.0,5.0,28.0,-11.0,-7334.508,22746.596,228457.48,0.0009692401,-0.0022667514,6.6401777,24.0,0.0
100116.0,3665.0,7.0,10.0,-11.0,-7167.717,27441.088,202771.5,0.006602551,0.005764868,0.48902926,4.0,2.0
100116.0,29504.0,8.0,16.0,11.0,-7155.5625,27441.914,211333.5,0.0037553038,-0.007920719,88.25482,16.0,2.0
100116.0,30371.0,4.0,18.0,11.0,-7212.069,27412.975,214187.5,0.0012876241,-0.0012720689,1.033716,18.0,2.0
100116.0,30371.0,4.0,19.0,11.0,-7209.409,27409.527,215614.5,0.0014833447,0.0024678644,1.033716,18.0,2.0
100116.0,29642.0,5.0,17.0,-11.0,-7173.37,27444.488,212760.5,0.00051057525,0.0011951457,16.135597,16.0,2.0
100116.0,29642.0,5.0,19.0,-11.0,-7173.828,27446.555,215614.5,0.0009564527,-0.0008046824,16.135597,16.0,2.0
100116.0,29642.0,5.0,20.0,11.0,-7171.588,27439.025,217041.48,0.0007246978,-0.005827537,0.7716185,16.0,2.0
100116.0,29642.0,5.0,21.0,-11.0,-7168.022,27433.92,218468.48,0.0024765572,-0.0067897616,1.0231285,16.0,2.0
100116.0,30541.0,6.0,21.0,-11.0,-7157.531,27441.39,218468.48,0.00013121415,-0.0047241123,1.6996812,20.0,2.0
100116.0,28849.0,4.0,25.0,-11.0,-7185.7056,27442.238,224176.5,-0.004663158,-0.006279475,1.5351844,23.0,2.0
100116.0,29024.0,10.0,16.0,-11.0,-7164.4927,27445.85,211333.5,0.00079977204,0.0011805508,3.3437357,15.0,2.0
100116.0,29024.0,10.0,18.0,-11.0,-7166.253,27451.0,214187.5,-0.0018358269,0.003939755,5.31871,15.0,2.0
100116.0,29024.0,10.0,19.0,-11.0,-7171.626,27461.527,215614.5,-0.003378121,0.0068417774,5.31871,15.0,2.0
100116.0,952.0,8.0,3.0,-11.0,-7186.6377,27432.355,192782.5,0.0012149442,9.940244e-05,8.280349,2.0,2.0
100116.0,952.0,8.0,8.0,-11.0,-7192.7407,27440.713,199917.5,-0.0009005876,0.0028900353,14.879477,2.0,2.0
100116.0,952.0,8.0,9.0,-11.0,-7193.235,27444.61,201344.5,-0.00017114088,0.0033592102,14.879477,2.0,2.0
100116.0,952.0,8.0,11.0,-11.0,-7199.0396,27453.203,204198.5,-0.002848338,0.0054828855,14.879477,2.0,2.0
100116.0,13262.0,6.0,8.0,-11.0,-7182.6,27434.348,199917.5,-0.0040729158,-0.0013444832,5.8805633,8.0,2.0
100116.0,13262.0,6.0,10.0,-11.0,-7194.2188,27432.281,202771.5,-0.0027441771,-0.003942825,3.8068697,8.0,2.0
100116.0,1957.0,13.0,6.0,11.0,-7193.803,27439.63,197063.48,0.0002022418,0.003494045,200.0,3.0,2.0
100116.0,1957.0,13.0,7.0,-11.0,-7196.3354,27444.787,198490.5,-0.0026125875,0.004704627,0.336042,3.0,2.0
100116.0,1957.0,13.0,8.0,-11.0,-7197.695,27450.53,199917.5,0.0016195275,-0.00073711737,0.93525743,3.0,2.0
100116.0,1957.0,13.0,10.0,11.0,-7176.037,27433.23,202771.5,0.0016022112,-3.4240107e-05,9.220438,3.0,2.0
100116.0,1957.0,13.0,11.0,11.0,-7173.9907,27434.482,204198.5,-0.0011652643,0.004911321,9.220438,3.0,2.0
100116.0,1957.0,13.0,12.0,11.0,-7176.348,27437.812,205625.48,0.0015669066,0.0011875817,8.1300335,3.0,2.0
100116.0,1957.0,13.0,13.0,-11.0,-7176.9385,27444.883,207052.48,0.001869234,0.0020646565,4.2763877,3.0,2.0
100116.0,1957.0,13.0,14.0,-11.0,-7178.767,27447.232,208479.5,-0.0017668932,0.0045792856,8.546473,3.0,2.0
100116.0,1957.0,13.0,15.0,11.0,-7180.524,27448.453,209906.5,-0.0011361516,0.0035620662,3.0363607,3.0,2.0
100116.0,1957.0,13.0,16.0,-11.0,-7183.8145,27462.344,211333.5,0.0003307757,0.00530135,0.56208193,3.0,2.0
100116.0,3650.0,3.0,4.0,11.0,-7189.3916,27431.664,194209.48,0.004400321,0.0058026114,200.0,4.0,2.0
100116.0,3650.0,3.0,5.0,11.0,-7186.7837,27430.822,195636.48,0.0013631621,0.0012387834,7.315722,4.0,2.0
100116.0,5710.0,3.0,7.0,11.0,-7197.1255,27407.727,198490.5,0.0038035668,-0.0005515951,1.0003861,5.0,2.0
100116.0,7685.0,3.0,6.0,-11.0,-7189.789,27425.596,197063.48,0.0060394397,0.0035225493,33.460983,6.0,2.0
100116.0,7685.0,3.0,7.0,11.0,-7177.916,27424.078,198490.5,0.007784048,-0.002675397,0.38025454,6.0,2.0
100116.0,7685.0,3.0,8.0,-11.0,-7169.2314,27418.459,199917.5,0.009435666,-0.0029513568,0.7194045,6.0,2.0
100116.0,10966.0,6.0,7.0,-11.0,-7185.3784,27435.064,198490.5,-0.00066235225,0.0019734905,0.552826,7.0,2.0
100116.0,10966.0,6.0,9.0,11.0,-7178.677,27428.793,201344.5,0.00422375,-0.004517654,0.5235018,7.0,2.0
100116.0,10966.0,6.0,11.0,11.0,-7174.414,27425.648,204198.5,0.0043341992,-0.0066610263,0.707824,7.0,2.0
